я	5081568
не	4334804
что	3552532
в	2953981
и	2917112
ты	2723798
это	2640455
на	1655351
с	1509844
он	1283590
мы	1214875
как	1174339
вы	1159742
да	1142662
мне	1077059
у	1055142
нет	1049935
меня	1010408
так	995583
но	990116
а	970725
его	752429
все	722378
она	713014
тебя	702607
о	695076
если	631191
за	598915
бы	594884
тебе	588450
они	534808
чтобы	479027
же	469511
есть	450986
просто	450715
из	446361
к	434512
для	427940
ну	427366
когда	421340
хорошо	420527
здесь	410266
по	397721
был	393771
знаю	389247
то	385315
только	383956
всё	373088
было	371183
вас	357146
может	357142
нас	351238
вот	340913
от	339856
быть	313741
кто	299982
будет	298842
почему	295613
вам	289733
их	287229
очень	281777
могу	280691
уже	278258
спасибо	273631
или	272568
нам	269029
еще	268978
там	264211
нужно	255361
сейчас	254448
где	254081
чем	253382
хочу	252103
ничего	248396
этого	247989
была	237832
мой	234913
ее	232065
ладно	229994
знаешь	228414
п	227298
до	221120
этом	220811
потому	218628
теперь	216086
думаю	205407
больше	202968
её	201916
со	196362
раз	193840
ему	189816
надо	189178
время	189069
этот	184623
ли	180914
ещё	179679
пока	179122
даже	178504
привет	177992
сказал	174338
себя	172907
должен	169695
тоже	167958
хочешь	166264
давай	165828
что-то	162833
никогда	161918
эй	161851
того	161739
тогда	159343
него	155644
ни	155085
тут	154726
были	154615
конечно	154334
правда	154307
об	153646
моя	146670
пожалуйста	140855
тобой	139908
сказать	139229
сегодня	136912
один	135623
лучше	132478
можешь	131596
сюда	130931
мной	130107
значит	127095
сделать	126604
всегда	126030
дело	123228
можно	123056
ей	123047
должны	120950
порядке	120906
без	119843
день	118088
том	117709
буду	115292
делать	112020
хотел	111407
чего	111052
эти	109769
много	109541
после	109028
этим	108025
всего	107074
во	106627
твой	105811
ним	105636
лет	102100
боже	101843
них	101466
сэр	101299
ведь	100777
мистер	99992
жизнь	99632
потом	99575
ней	99204
такой	99052
который	96989
всех	96974
через	96333
им	95992
возможно	95943
немного	95662
такое	95496
слишком	94429
себе	94381
зачем	93100
должна	91680
моей	90410
люди	90224
знаете	90164
этой	89526
думаешь	88899
свою	88160
точно	86897
человек	86853
твоя	86378
под	86143
сказала	85749
назад	85317
из-за	84610
эту	84553
можем	83944
случилось	83486
мама	82770
мог	82624
вместе	82533
отец	82443
сделал	82144
мои	81329
кажется	81004
друг	80587
куда	80441
никто	80070
поэтому	78189
эта	78060
которые	77613
два	77008
тот	76641
сколько	76611
понимаю	76298
снова	76265
жизни	76144
нравится	75431
людей	74207
помочь	73512
видел	73501
люблю	72412
хочет	71846
место	71757
знать	71476
кто-то	71353
прости	71336
отлично	71243
похоже	71157
парень	70820
домой	70755
всем	70745
деньги	69831
иди	69293
времени	68876
дома	68664
именно	68567
доктор	67918
думал	67701
говорил	67335
делаешь	67069
будем	67057
прямо	66757
стоит	66587
поговорить	66462
найти	66209
разве	66146
слушай	65986
своей	65823
лишь	65808
ага	65490
можете	65480
простите	65257
хотела	64824
сам	64565
что-нибудь	64127
тем	63890
будешь	62961
прошу	62593
три	61773
деле	61675
хотите	61597
говорить	61591
давайте	61413
совсем	61240
знал	61058
знает	60683
какой	60477
моего	60363
скажи	59989
дом	59974
дела	59642
вами	59524
свои	59099
ж	58748
говорит	58596
несколько	58492
должно	58386
про	58180
ваш	57938
происходит	57892
жаль	57474
туда	57308
действительно	57152
папа	56693
завтра	55928
оно	55655
черт	55607
одна	55083
перед	54678
наш	54529
уверен	54464
отсюда	54249
нужна	54088
самом	53967
тех	53671
нужен	53454
свой	53410
мою	53267
кого	52950
верно	52791
работу	52788
каждый	52005
твоей	51719
будут	51653
хватит	51483
понял	51455
нее	51307
уж	51283
имя	51199
против	50836
кое-что	50388
пор	50034
чём	49969
раньше	49196
говорю	49137
более	49014
надеюсь	48947
итак	48940
при	48916
ваша	48891
вообще	48657
пошли	48631
мать	48327
нельзя	48309
наверное	48158
нами	48110
твои	47716
могли	47497
дай	47298
ради	47155
всю	46925
ребята	46567
ко	46404
хотя	46068
понимаешь	45672
идти	45654
откуда	45596
этих	45596
такая	45222
ясно	45154
другой	45087
извините	45074
вижу	44264
видеть	43923
над	43810
могут	43706
равно	43637
мисс	43522
скоро	43513
будто	43328
зовут	43158
виду	42951
наши	42884
думала	42823
послушай	42732
между	42378
своего	42110
вопрос	41857
этому	41856
почти	41718
года	41673
человека	41539
которая	41129
подожди	41101
руки	41048
нормально	41029
такие	41025
возьми	40938
минут	40938
извини	40699
вещи	40557
могла	40427
смотри	40426
хоть	40250
работа	40211
пару	40153
сын	40105
ваше	40075
дня	39982
пора	39964
неё	39900
жить	39785
видишь	39742
достаточно	39644
господи	39600
быстро	39448
твою	39431
весь	39373
убить	39356
ночь	39231
говоришь	39074
собой	38686
скажу	38603
готов	38243
слышал	38200
какая	37614
посмотри	37605
первый	37559
самое	37558
видела	37537
пусть	37504
месте	37488
нашли	37459
сказали	37445
плохо	37383
смогу	37048
ваши	36984
отца	36934
детей	36917
знаем	36911
рад	36727
прав	36686
никаких	36401
имею	36205
миссис	36111
иногда	36085
смерти	36077
своих	36071
пойду	35987
брат	35930
вроде	35897
рядом	35793
мир	35680
произошло	35440
которую	35389
сделала	35372
говорила	35203
знала	35121
мое	35030
одного	35004
таким	34912
помощь	34858
такого	34827
кем	34757
насчет	34635
вчера	34622
случае	34622
увидеть	34406
нашей	34339
говорят	34188
правильно	33991
убил	33957
одно	33920
пойти	33908
друга	33663
сама	33642
долго	33607
работать	33587
дверь	33577
делает	33556
женщина	33537
важно	33534
кроме	33324
будь	33311
собираюсь	33276
вашей	33160
нужны	33154
здорово	33129
номер	33102
проблема	32987
проблемы	32933
денег	32919
чёрт	32881
хороший	32663
твоего	32521
одну	32351
дальше	32290
вернуться	32265
давно	32247
последний	32206
ночи	32162
узнать	31995
уверена	31958
машину	31911
права	31879
пять	31874
моих	31857
также	31756
тому	31700
вечером	31577
дети	31434
опять	31397
вообще-то	31394
серьезно	31361
работает	31339
своим	31279
сначала	30957
две	30938
одной	30898
моим	30760
те	30751
жена	30704
думаете	30544
помнишь	30417
глаза	30370
ними	30238
чувак	30222
ночью	30220
чувствую	30161
взять	30141
сразу	30132
утром	30109
часть	30091
придется	29877
стать	29711
идея	29633
дорогая	29606
прекрасно	29598
слова	29524
сделали	29485
видели	29384
наша	29157
сердце	29016
помню	28916
парня	28852
момент	28780
утро	28764
здравствуйте	28754
стал	28724
скорее	28682
ох	28668
большой	28409
кто-нибудь	28402
часов	28334
год	28330
друзья	28282
сильно	28217
говори	28147
смысле	28050
которой	27890
уйти	27794
которого	27621
капитан	27555
работы	27516
любовь	27505
дочь	27412
новый	27283
боюсь	27122
имеет	27056
стой	27040
дней	27036
той	27008
голову	26985
ах	26890
столько	26881
понятно	26878
дать	26825
девушка	26756
довольно	26733
доме	26620
вечер	26612
оба	26584
пойдем	26531
увидимся	26481
шанс	26416
хорошая	26414
прежде	26389
сделаю	26336
какого	26272
быстрее	26238
понять	26226
рассказать	26144
вашего	26034
бог	25920
интересно	25919
затем	25898
умер	25893
обо	25824
никого	25759
парни	25749
самый	25746
твое	25730
вон	25698
пришел	25628
чтоб	25591
поверить	25583
слово	25563
будете	25439
нашел	25320
милая	25304
странно	25261
какие	25256
ой	25188
та	25034
однажды	25033
сможешь	24846
получить	24831
обычно	24821
ума	24813
полагаю	24799
алло	24674
посмотреть	24666
иначе	24647
наших	24616
тело	24547
хотели	24483
свое	24180
пришли	24179
моё	24178
другие	24173
